,rouge,SGC,WGC,LC,key
0,"{'rouge1_fmeasure': tensor(0.2471), 'rouge1_precision': tensor(0.2902), 'rouge1_recall': tensor(0.3351), 'rouge2_fmeasure': tensor(0.0772), 'rouge2_precision': tensor(0.0906), 'rouge2_recall': tensor(0.1040), 'rougeL_fmeasure': tensor(0.1777), 'rougeL_precision': tensor(0.2087), 'rougeL_recall': tensor(0.2436), 'rougeLsum_fmeasure': tensor(0.2063), 'rougeLsum_precision': tensor(0.2439), 'rougeLsum_recall': tensor(0.2830)}",0.18,0.91,0.78,llama_few_0_1_100_3.csv
1,"{'rouge1_fmeasure': tensor(0.2124), 'rouge1_precision': tensor(0.2109), 'rouge1_recall': tensor(0.4616), 'rouge2_fmeasure': tensor(0.0622), 'rouge2_precision': tensor(0.0611), 'rouge2_recall': tensor(0.1422), 'rougeL_fmeasure': tensor(0.1413), 'rougeL_precision': tensor(0.1363), 'rougeL_recall': tensor(0.3233), 'rougeLsum_fmeasure': tensor(0.1814), 'rougeLsum_precision': tensor(0.1814), 'rougeLsum_recall': tensor(0.3946)}",0.04,0.83,0.49,llama_few_0_2_100_13.csv
2,"{'rouge1_fmeasure': tensor(0.2484), 'rouge1_precision': tensor(0.3030), 'rouge1_recall': tensor(0.3582), 'rouge2_fmeasure': tensor(0.0821), 'rouge2_precision': tensor(0.1096), 'rouge2_recall': tensor(0.1110), 'rougeL_fmeasure': tensor(0.1759), 'rougeL_precision': tensor(0.2171), 'rougeL_recall': tensor(0.2519), 'rougeLsum_fmeasure': tensor(0.2074), 'rougeLsum_precision': tensor(0.2604), 'rougeLsum_recall': tensor(0.2979)}",0.12,0.89,0.74,llama_few_1_0_100_13.csv
3,"{'rouge1_fmeasure': tensor(0.2073), 'rouge1_precision': tensor(0.1865), 'rouge1_recall': tensor(0.4555), 'rouge2_fmeasure': tensor(0.0605), 'rouge2_precision': tensor(0.0526), 'rouge2_recall': tensor(0.1416), 'rougeL_fmeasure': tensor(0.1338), 'rougeL_precision': tensor(0.1166), 'rougeL_recall': tensor(0.3152), 'rougeLsum_fmeasure': tensor(0.1804), 'rougeLsum_precision': tensor(0.1633), 'rougeLsum_recall': tensor(0.3968)}",0.01,0.75,0.48,llama_few_0_1_100_13.csv
4,"{'rouge1_fmeasure': tensor(0.2373), 'rouge1_precision': tensor(0.4417), 'rouge1_recall': tensor(0.2088), 'rouge2_fmeasure': tensor(0.0877), 'rouge2_precision': tensor(0.1599), 'rouge2_recall': tensor(0.0784), 'rougeL_fmeasure': tensor(0.1831), 'rougeL_precision': tensor(0.3501), 'rougeL_recall': tensor(0.1621), 'rougeLsum_fmeasure': tensor(0.1924), 'rougeLsum_precision': tensor(0.3669), 'rougeLsum_recall': tensor(0.1696)}",0.45,0.96,0.98,llama_few_0_3_100_3.csv
5,"{'rouge1_fmeasure': tensor(0.2510), 'rouge1_precision': tensor(0.2900), 'rouge1_recall': tensor(0.3259), 'rouge2_fmeasure': tensor(0.0788), 'rouge2_precision': tensor(0.0920), 'rouge2_recall': tensor(0.1003), 'rougeL_fmeasure': tensor(0.1736), 'rougeL_precision': tensor(0.1988), 'rougeL_recall': tensor(0.2310), 'rougeLsum_fmeasure': tensor(0.2103), 'rougeLsum_precision': tensor(0.2445), 'rougeLsum_recall': tensor(0.2743)}",0.0707,0.8586,0.8081,llama_zero_0_100_100_313.csv
6,"{'rouge1_fmeasure': tensor(0.2625), 'rouge1_precision': tensor(0.3402), 'rouge1_recall': tensor(0.2933), 'rouge2_fmeasure': tensor(0.0866), 'rouge2_precision': tensor(0.1227), 'rouge2_recall': tensor(0.0936), 'rougeL_fmeasure': tensor(0.1845), 'rougeL_precision': tensor(0.2430), 'rougeL_recall': tensor(0.2076), 'rougeLsum_fmeasure': tensor(0.2116), 'rougeLsum_precision': tensor(0.2790), 'rougeLsum_recall': tensor(0.2405)}",0.2,0.91,0.91,llama_few_0_2_100_313.csv
7,"{'rouge1_fmeasure': tensor(0.2377), 'rouge1_precision': tensor(0.2924), 'rouge1_recall': tensor(0.3168), 'rouge2_fmeasure': tensor(0.0683), 'rouge2_precision': tensor(0.0890), 'rouge2_recall': tensor(0.0933), 'rougeL_fmeasure': tensor(0.1596), 'rougeL_precision': tensor(0.1984), 'rougeL_recall': tensor(0.2187), 'rougeLsum_fmeasure': tensor(0.1937), 'rougeLsum_precision': tensor(0.2439), 'rougeLsum_recall': tensor(0.2607)}",0.0521,0.875,0.8125,llama_zero_0_100_100_13.csv
8,"{'rouge1_fmeasure': tensor(0.2229), 'rouge1_precision': tensor(0.2736), 'rouge1_recall': tensor(0.2769), 'rouge2_fmeasure': tensor(0.0598), 'rouge2_precision': tensor(0.0686), 'rouge2_recall': tensor(0.0734), 'rougeL_fmeasure': tensor(0.1532), 'rougeL_precision': tensor(0.1868), 'rougeL_recall': tensor(0.1959), 'rougeLsum_fmeasure': tensor(0.1786), 'rougeLsum_precision': tensor(0.2248), 'rougeLsum_recall': tensor(0.2216)}",0.0105,0.8316,0.8421,llama_zero_0_100_100_3.csv
9,"{'rouge1_fmeasure': tensor(0.2680), 'rouge1_precision': tensor(0.2968), 'rouge1_recall': tensor(0.3514), 'rouge2_fmeasure': tensor(0.0921), 'rouge2_precision': tensor(0.1051), 'rouge2_recall': tensor(0.1185), 'rougeL_fmeasure': tensor(0.1853), 'rougeL_precision': tensor(0.2059), 'rougeL_recall': tensor(0.2478), 'rougeLsum_fmeasure': tensor(0.2201), 'rougeLsum_precision': tensor(0.2446), 'rougeLsum_recall': tensor(0.2919)}",0.17,0.87,0.81,llama_few_0_3_100_313.csv
10,"{'rouge1_fmeasure': tensor(0.2817), 'rouge1_precision': tensor(0.3122), 'rouge1_recall': tensor(0.4101), 'rouge2_fmeasure': tensor(0.0973), 'rouge2_precision': tensor(0.1169), 'rouge2_recall': tensor(0.1398), 'rougeL_fmeasure': tensor(0.1931), 'rougeL_precision': tensor(0.2142), 'rougeL_recall': tensor(0.2883), 'rougeLsum_fmeasure': tensor(0.2280), 'rougeLsum_precision': tensor(0.2548), 'rougeLsum_recall': tensor(0.3361)}",0.2,0.89,0.73,llama_few_0_3_100_13.csv
