,rouge,SGC,WGC,LC,key
0,"{'rouge1_fmeasure': tensor(0.2045), 'rouge1_precision': tensor(0.1920), 'rouge1_recall': tensor(0.4488), 'rouge2_fmeasure': tensor(0.0616), 'rouge2_precision': tensor(0.0596), 'rouge2_recall': tensor(0.1376), 'rougeL_fmeasure': tensor(0.1313), 'rougeL_precision': tensor(0.1224), 'rougeL_recall': tensor(0.2992), 'rougeLsum_fmeasure': tensor(0.1702), 'rougeLsum_precision': tensor(0.1614), 'rougeLsum_recall': tensor(0.3775)}",0.05,0.84,0.51,mistral_few_2_3_100_3.csv
1,"{'rouge1_fmeasure': tensor(0.2121), 'rouge1_precision': tensor(0.1752), 'rouge1_recall': tensor(0.4665), 'rouge2_fmeasure': tensor(0.0693), 'rouge2_precision': tensor(0.0556), 'rouge2_recall': tensor(0.1606), 'rougeL_fmeasure': tensor(0.1449), 'rougeL_precision': tensor(0.1190), 'rougeL_recall': tensor(0.3324), 'rougeLsum_fmeasure': tensor(0.1861), 'rougeLsum_precision': tensor(0.1522), 'rougeLsum_recall': tensor(0.4112)}",0.04,0.82,0.43,mistral_few_2_2_100_313.csv
2,"{'rouge1_fmeasure': tensor(0.2397), 'rouge1_precision': tensor(0.2551), 'rouge1_recall': tensor(0.3795), 'rouge2_fmeasure': tensor(0.0756), 'rouge2_precision': tensor(0.0821), 'rouge2_recall': tensor(0.1178), 'rougeL_fmeasure': tensor(0.1693), 'rougeL_precision': tensor(0.1810), 'rougeL_recall': tensor(0.2705), 'rougeLsum_fmeasure': tensor(0.1993), 'rougeLsum_precision': tensor(0.2126), 'rougeLsum_recall': tensor(0.3195)}",0.15,0.92,0.63,mistral_few_1_3_100_3.csv
3,"{'rouge1_fmeasure': tensor(0.2178), 'rouge1_precision': tensor(0.2110), 'rouge1_recall': tensor(0.4333), 'rouge2_fmeasure': tensor(0.0670), 'rouge2_precision': tensor(0.0662), 'rouge2_recall': tensor(0.1323), 'rougeL_fmeasure': tensor(0.1470), 'rougeL_precision': tensor(0.1423), 'rougeL_recall': tensor(0.2977), 'rougeLsum_fmeasure': tensor(0.1838), 'rougeLsum_precision': tensor(0.1784), 'rougeLsum_recall': tensor(0.3673)}",0.07,0.84,0.58,mistral_few_1_2_100_3.csv
4,"{'rouge1_fmeasure': tensor(0.2333), 'rouge1_precision': tensor(0.2210), 'rouge1_recall': tensor(0.4450), 'rouge2_fmeasure': tensor(0.0733), 'rouge2_precision': tensor(0.0690), 'rouge2_recall': tensor(0.1423), 'rougeL_fmeasure': tensor(0.1504), 'rougeL_precision': tensor(0.1374), 'rougeL_recall': tensor(0.3073), 'rougeLsum_fmeasure': tensor(0.1938), 'rougeLsum_precision': tensor(0.1873), 'rougeLsum_recall': tensor(0.3725)}",0.02,0.87,0.72,mistral_zero_0_100_100_13.csv
5,"{'rouge1_fmeasure': tensor(0.2027), 'rouge1_precision': tensor(0.2358), 'rouge1_recall': tensor(0.3873), 'rouge2_fmeasure': tensor(0.0561), 'rouge2_precision': tensor(0.0650), 'rouge2_recall': tensor(0.1140), 'rougeL_fmeasure': tensor(0.1344), 'rougeL_precision': tensor(0.1578), 'rougeL_recall': tensor(0.2652), 'rougeLsum_fmeasure': tensor(0.1668), 'rougeLsum_precision': tensor(0.1943), 'rougeLsum_recall': tensor(0.3217)}",0.09,0.82,0.59,mistral_few_3_0_100_3.csv
6,"{'rouge1_fmeasure': tensor(0.2245), 'rouge1_precision': tensor(0.2079), 'rouge1_recall': tensor(0.4366), 'rouge2_fmeasure': tensor(0.0697), 'rouge2_precision': tensor(0.0670), 'rouge2_recall': tensor(0.1396), 'rougeL_fmeasure': tensor(0.1523), 'rougeL_precision': tensor(0.1406), 'rougeL_recall': tensor(0.3055), 'rougeLsum_fmeasure': tensor(0.1943), 'rougeLsum_precision': tensor(0.1808), 'rougeLsum_recall': tensor(0.3779)}",0.01,0.84,0.5,mistral_few_1_1_100_313.csv
7,"{'rouge1_fmeasure': tensor(0.2122), 'rouge1_precision': tensor(0.1697), 'rouge1_recall': tensor(0.5301), 'rouge2_fmeasure': tensor(0.0689), 'rouge2_precision': tensor(0.0561), 'rouge2_recall': tensor(0.1760), 'rougeL_fmeasure': tensor(0.1320), 'rougeL_precision': tensor(0.1023), 'rougeL_recall': tensor(0.3549), 'rougeLsum_fmeasure': tensor(0.1863), 'rougeLsum_precision': tensor(0.1500), 'rougeLsum_recall': tensor(0.4631)}",0.0,0.79,0.32,mistral_few_2_2_100_13.csv
8,"{'rouge1_fmeasure': tensor(0.2300), 'rouge1_precision': tensor(0.2032), 'rouge1_recall': tensor(0.4356), 'rouge2_fmeasure': tensor(0.0718), 'rouge2_precision': tensor(0.0642), 'rouge2_recall': tensor(0.1355), 'rougeL_fmeasure': tensor(0.1550), 'rougeL_precision': tensor(0.1333), 'rougeL_recall': tensor(0.3076), 'rougeLsum_fmeasure': tensor(0.1971), 'rougeLsum_precision': tensor(0.1752), 'rougeLsum_recall': tensor(0.3769)}",0.0,0.85,0.7,mistral_zero_0_100_100_313.csv
9,"{'rouge1_fmeasure': tensor(0.2691), 'rouge1_precision': tensor(0.3432), 'rouge1_recall': tensor(0.3272), 'rouge2_fmeasure': tensor(0.0970), 'rouge2_precision': tensor(0.1285), 'rouge2_recall': tensor(0.1146), 'rougeL_fmeasure': tensor(0.1910), 'rougeL_precision': tensor(0.2483), 'rougeL_recall': tensor(0.2310), 'rougeLsum_fmeasure': tensor(0.2231), 'rougeLsum_precision': tensor(0.2845), 'rougeLsum_recall': tensor(0.2774)}",0.29,0.93,0.76,mistral_few_0_1_100_313.csv
10,"{'rouge1_fmeasure': tensor(0.2794), 'rouge1_precision': tensor(0.2831), 'rouge1_recall': tensor(0.4552), 'rouge2_fmeasure': tensor(0.1047), 'rouge2_precision': tensor(0.1060), 'rouge2_recall': tensor(0.1674), 'rougeL_fmeasure': tensor(0.1913), 'rougeL_precision': tensor(0.1923), 'rougeL_recall': tensor(0.3171), 'rougeLsum_fmeasure': tensor(0.2397), 'rougeLsum_precision': tensor(0.2406), 'rougeLsum_recall': tensor(0.3954)}",0.22,0.85,0.58,mistral_few_0_3_100_13.csv
11,"{'rouge1_fmeasure': tensor(0.2805), 'rouge1_precision': tensor(0.3543), 'rouge1_recall': tensor(0.3280), 'rouge2_fmeasure': tensor(0.0928), 'rouge2_precision': tensor(0.1208), 'rouge2_recall': tensor(0.1101), 'rougeL_fmeasure': tensor(0.1976), 'rougeL_precision': tensor(0.2494), 'rougeL_recall': tensor(0.2362), 'rougeLsum_fmeasure': tensor(0.2325), 'rougeLsum_precision': tensor(0.2931), 'rougeLsum_recall': tensor(0.2763)}",0.37,0.95,0.86,mistral_few_1_3_100_13.csv
12,"{'rouge1_fmeasure': tensor(0.2676), 'rouge1_precision': tensor(0.3660), 'rouge1_recall': tensor(0.3031), 'rouge2_fmeasure': tensor(0.0945), 'rouge2_precision': tensor(0.1332), 'rouge2_recall': tensor(0.1057), 'rougeL_fmeasure': tensor(0.1940), 'rougeL_precision': tensor(0.2685), 'rougeL_recall': tensor(0.2180), 'rougeLsum_fmeasure': tensor(0.2219), 'rougeLsum_precision': tensor(0.3075), 'rougeLsum_recall': tensor(0.2541)}",0.35,0.93,0.87,mistral_few_0_2_100_313.csv
13,"{'rouge1_fmeasure': tensor(0.2015), 'rouge1_precision': tensor(0.1681), 'rouge1_recall': tensor(0.5132), 'rouge2_fmeasure': tensor(0.0633), 'rouge2_precision': tensor(0.0532), 'rouge2_recall': tensor(0.1723), 'rougeL_fmeasure': tensor(0.1321), 'rougeL_precision': tensor(0.1064), 'rougeL_recall': tensor(0.3673), 'rougeLsum_fmeasure': tensor(0.1747), 'rougeLsum_precision': tensor(0.1475), 'rougeLsum_recall': tensor(0.4458)}",0.0,0.8,0.47,mistral_few_0_1_100_13.csv
14,"{'rouge1_fmeasure': tensor(0.2296), 'rouge1_precision': tensor(0.2018), 'rouge1_recall': tensor(0.4522), 'rouge2_fmeasure': tensor(0.0774), 'rouge2_precision': tensor(0.0686), 'rouge2_recall': tensor(0.1495), 'rougeL_fmeasure': tensor(0.1564), 'rougeL_precision': tensor(0.1384), 'rougeL_recall': tensor(0.3152), 'rougeLsum_fmeasure': tensor(0.2009), 'rougeLsum_precision': tensor(0.1753), 'rougeLsum_recall': tensor(0.3964)}",0.07,0.86,0.52,mistral_few_2_0_100_313.csv
15,"{'rouge1_fmeasure': tensor(0.2501), 'rouge1_precision': tensor(0.2895), 'rouge1_recall': tensor(0.3873), 'rouge2_fmeasure': tensor(0.0884), 'rouge2_precision': tensor(0.1138), 'rouge2_recall': tensor(0.1389), 'rougeL_fmeasure': tensor(0.1726), 'rougeL_precision': tensor(0.2075), 'rougeL_recall': tensor(0.2736), 'rougeLsum_fmeasure': tensor(0.2112), 'rougeLsum_precision': tensor(0.2464), 'rougeLsum_recall': tensor(0.3342)}",0.19,0.88,0.75,mistral_few_0_3_100_313.csv
16,"{'rouge1_fmeasure': tensor(0.2450), 'rouge1_precision': tensor(0.2729), 'rouge1_recall': tensor(0.3725), 'rouge2_fmeasure': tensor(0.0813), 'rouge2_precision': tensor(0.0872), 'rouge2_recall': tensor(0.1288), 'rougeL_fmeasure': tensor(0.1700), 'rougeL_precision': tensor(0.1919), 'rougeL_recall': tensor(0.2641), 'rougeLsum_fmeasure': tensor(0.2026), 'rougeLsum_precision': tensor(0.2273), 'rougeLsum_recall': tensor(0.3098)}",0.13,0.89,0.71,mistral_few_3_0_100_313.csv
17,"{'rouge1_fmeasure': tensor(0.2587), 'rouge1_precision': tensor(0.4232), 'rouge1_recall': tensor(0.2309), 'rouge2_fmeasure': tensor(0.0917), 'rouge2_precision': tensor(0.1479), 'rouge2_recall': tensor(0.0825), 'rougeL_fmeasure': tensor(0.1914), 'rougeL_precision': tensor(0.3230), 'rougeL_recall': tensor(0.1702), 'rougeLsum_fmeasure': tensor(0.2056), 'rougeLsum_precision': tensor(0.3431), 'rougeLsum_recall': tensor(0.1851)}",0.52,0.98,0.97,mistral_few_0_3_100_3.csv
