,rouge,SGC,WGC,LC,key
0,"{'rouge1_fmeasure': tensor(0.2904), 'rouge1_precision': tensor(0.3788), 'rouge1_recall': tensor(0.2967), 'rouge2_fmeasure': tensor(0.1047), 'rouge2_precision': tensor(0.1325), 'rouge2_recall': tensor(0.1111), 'rougeL_fmeasure': tensor(0.2057), 'rougeL_precision': tensor(0.2717), 'rougeL_recall': tensor(0.2114), 'rougeLsum_fmeasure': tensor(0.2223), 'rougeLsum_precision': tensor(0.2984), 'rougeLsum_recall': tensor(0.2280)}",0.39,0.94,0.96,vicuna_few_0_3_100_3.csv
1,"{'rouge1_fmeasure': tensor(0.2569), 'rouge1_precision': tensor(0.2619), 'rouge1_recall': tensor(0.3902), 'rouge2_fmeasure': tensor(0.0766), 'rouge2_precision': tensor(0.0754), 'rouge2_recall': tensor(0.1251), 'rougeL_fmeasure': tensor(0.1673), 'rougeL_precision': tensor(0.1701), 'rougeL_recall': tensor(0.2609), 'rougeLsum_fmeasure': tensor(0.2029), 'rougeLsum_precision': tensor(0.2083), 'rougeLsum_recall': tensor(0.3158)}",0.11,0.86,0.77,vicuna_few_2_0_100_3.csv
2,"{'rouge1_fmeasure': tensor(0.2640), 'rouge1_precision': tensor(0.2661), 'rouge1_recall': tensor(0.3855), 'rouge2_fmeasure': tensor(0.0824), 'rouge2_precision': tensor(0.0801), 'rouge2_recall': tensor(0.1256), 'rougeL_fmeasure': tensor(0.1753), 'rougeL_precision': tensor(0.1751), 'rougeL_recall': tensor(0.2619), 'rougeLsum_fmeasure': tensor(0.2090), 'rougeLsum_precision': tensor(0.2116), 'rougeLsum_recall': tensor(0.3110)}",0.13,0.87,0.84,vicuna_few_1_2_100_3.csv
3,"{'rouge1_fmeasure': tensor(0.2733), 'rouge1_precision': tensor(0.2659), 'rouge1_recall': tensor(0.4051), 'rouge2_fmeasure': tensor(0.0916), 'rouge2_precision': tensor(0.0885), 'rouge2_recall': tensor(0.1348), 'rougeL_fmeasure': tensor(0.1871), 'rougeL_precision': tensor(0.1790), 'rougeL_recall': tensor(0.2862), 'rougeLsum_fmeasure': tensor(0.2299), 'rougeLsum_precision': tensor(0.2245), 'rougeLsum_recall': tensor(0.3430)}",0.08,0.92,0.81,vicuna_few_2_0_100_313.csv
4,"{'rouge1_fmeasure': tensor(0.2697), 'rouge1_precision': tensor(0.3259), 'rouge1_recall': tensor(0.3037), 'rouge2_fmeasure': tensor(0.0843), 'rouge2_precision': tensor(0.1006), 'rouge2_recall': tensor(0.0986), 'rougeL_fmeasure': tensor(0.1886), 'rougeL_precision': tensor(0.2287), 'rougeL_recall': tensor(0.2143), 'rougeLsum_fmeasure': tensor(0.2112), 'rougeLsum_precision': tensor(0.2599), 'rougeLsum_recall': tensor(0.2394)}",0.28,0.91,0.93,vicuna_few_1_0_100_3.csv
5,"{'rouge1_fmeasure': tensor(0.2564), 'rouge1_precision': tensor(0.2525), 'rouge1_recall': tensor(0.4287), 'rouge2_fmeasure': tensor(0.0824), 'rouge2_precision': tensor(0.0811), 'rouge2_recall': tensor(0.1430), 'rougeL_fmeasure': tensor(0.1718), 'rougeL_precision': tensor(0.1663), 'rougeL_recall': tensor(0.2997), 'rougeLsum_fmeasure': tensor(0.2171), 'rougeLsum_precision': tensor(0.2179), 'rougeLsum_recall': tensor(0.3617)}",0.04,0.88,0.66,vicuna_few_2_0_100_13.csv
6,"{'rouge1_fmeasure': tensor(0.2582), 'rouge1_precision': tensor(0.2457), 'rouge1_recall': tensor(0.4347), 'rouge2_fmeasure': tensor(0.0798), 'rouge2_precision': tensor(0.0734), 'rouge2_recall': tensor(0.1452), 'rougeL_fmeasure': tensor(0.1738), 'rougeL_precision': tensor(0.1627), 'rougeL_recall': tensor(0.3048), 'rougeLsum_fmeasure': tensor(0.2161), 'rougeLsum_precision': tensor(0.2091), 'rougeLsum_recall': tensor(0.3647)}",0.05,0.9,0.64,vicuna_few_2_2_100_13.csv
7,"{'rouge1_fmeasure': tensor(0.2806), 'rouge1_precision': tensor(0.3456), 'rouge1_recall': tensor(0.3308), 'rouge2_fmeasure': tensor(0.0893), 'rouge2_precision': tensor(0.1059), 'rouge2_recall': tensor(0.1087), 'rougeL_fmeasure': tensor(0.1978), 'rougeL_precision': tensor(0.2398), 'rougeL_recall': tensor(0.2384), 'rougeLsum_fmeasure': tensor(0.2270), 'rougeLsum_precision': tensor(0.2861), 'rougeLsum_recall': tensor(0.2694)}",0.29,0.96,0.92,vicuna_few_1_3_100_13.csv
8,"{'rouge1_fmeasure': tensor(0.2783), 'rouge1_precision': tensor(0.3039), 'rouge1_recall': tensor(0.3479), 'rouge2_fmeasure': tensor(0.0895), 'rouge2_precision': tensor(0.0938), 'rouge2_recall': tensor(0.1187), 'rougeL_fmeasure': tensor(0.1898), 'rougeL_precision': tensor(0.2069), 'rougeL_recall': tensor(0.2427), 'rougeLsum_fmeasure': tensor(0.2203), 'rougeLsum_precision': tensor(0.2426), 'rougeLsum_recall': tensor(0.2805)}",0.22,0.9,0.9,vicuna_few_0_1_100_3.csv
9,"{'rouge1_fmeasure': tensor(0.2365), 'rouge1_precision': tensor(0.2034), 'rouge1_recall': tensor(0.4263), 'rouge2_fmeasure': tensor(0.0741), 'rouge2_precision': tensor(0.0624), 'rouge2_recall': tensor(0.1387), 'rougeL_fmeasure': tensor(0.1575), 'rougeL_precision': tensor(0.1322), 'rougeL_recall': tensor(0.2949), 'rougeLsum_fmeasure': tensor(0.1973), 'rougeLsum_precision': tensor(0.1723), 'rougeLsum_recall': tensor(0.3547)}",0.0,0.92,0.78,vicuna_zero_0_100_100_3.csv
10,"{'rouge1_fmeasure': tensor(0.2679), 'rouge1_precision': tensor(0.2883), 'rouge1_recall': tensor(0.3533), 'rouge2_fmeasure': tensor(0.0861), 'rouge2_precision': tensor(0.0911), 'rouge2_recall': tensor(0.1188), 'rougeL_fmeasure': tensor(0.1793), 'rougeL_precision': tensor(0.1929), 'rougeL_recall': tensor(0.2411), 'rougeLsum_fmeasure': tensor(0.2108), 'rougeLsum_precision': tensor(0.2278), 'rougeLsum_recall': tensor(0.2840)}",0.26,0.9,0.86,vicuna_few_2_2_100_3.csv
11,"{'rouge1_fmeasure': tensor(0.2681), 'rouge1_precision': tensor(0.2625), 'rouge1_recall': tensor(0.4263), 'rouge2_fmeasure': tensor(0.0862), 'rouge2_precision': tensor(0.0819), 'rouge2_recall': tensor(0.1452), 'rougeL_fmeasure': tensor(0.1807), 'rougeL_precision': tensor(0.1735), 'rougeL_recall': tensor(0.3001), 'rougeLsum_fmeasure': tensor(0.2233), 'rougeLsum_precision': tensor(0.2216), 'rougeLsum_recall': tensor(0.3569)}",0.12,0.87,0.64,vicuna_few_2_3_100_13.csv
12,"{'rouge1_fmeasure': tensor(0.2707), 'rouge1_precision': tensor(0.2985), 'rouge1_recall': tensor(0.3592), 'rouge2_fmeasure': tensor(0.0898), 'rouge2_precision': tensor(0.0969), 'rouge2_recall': tensor(0.1244), 'rougeL_fmeasure': tensor(0.1845), 'rougeL_precision': tensor(0.2058), 'rougeL_recall': tensor(0.2465), 'rougeLsum_fmeasure': tensor(0.2160), 'rougeLsum_precision': tensor(0.2418), 'rougeLsum_recall': tensor(0.2918)}",0.26,0.93,0.81,vicuna_few_0_2_100_3.csv
13,"{'rouge1_fmeasure': tensor(0.2498), 'rouge1_precision': tensor(0.2324), 'rouge1_recall': tensor(0.4387), 'rouge2_fmeasure': tensor(0.0775), 'rouge2_precision': tensor(0.0720), 'rouge2_recall': tensor(0.1464), 'rougeL_fmeasure': tensor(0.1597), 'rougeL_precision': tensor(0.1446), 'rougeL_recall': tensor(0.2990), 'rougeLsum_fmeasure': tensor(0.2089), 'rougeLsum_precision': tensor(0.1986), 'rougeLsum_recall': tensor(0.3680)}",0.0,0.97,0.77,vicuna_zero_0_100_100_13.csv
